"ApplicableFor","System Entry Energy, Aldbrough, D+2","System Entry Energy, Bacton-Perenco, D+1","System Entry Energy, Bacton-Shell, D+1","System Entry Energy, Bacton - BBL, D+2","System Entry Energy, Bacton Interconnector, D+2","System Entry Energy, BactonSeal, D+1","System Entry Energy, Barrow , D+2","System Entry Energy, Burton Point, D+2","System Entry Energy, Dragon, D+1","System Entry Energy, Easington-Langeled, D+1","System Entry Energy, Easington - Dimlington, D+2","System Entry Energy, GrainNTS1, D+1","System Entry Energy, GrainNTS2, D+1","System Entry Energy, HatfieldMoor, D+1","System Entry Energy, HillTop, D+2","System Entry Energy, Hole House Farm, D+2","System Entry Energy, Holford, D+2","System Entry Energy, Hornsea, D+2","System Entry Energy, Humbly Grove, D+2","System Entry Energy, Moffat Entry , D+2","System Entry Energy, Rough, D+2","System Entry Energy, South Hook, D+2","System Entry Energy, ST Fergus - Mobil, D+2","System Entry Energy, STFergus-NSMP, D+1","System Entry Energy, STFergus-Shell, D+1","System Entry Energy, Teesside-BP, D+1","System Entry Energy, Teesside-PX, D+1","System Entry Energy, Theddlethorpe, D+2","System Entry Energy, Stublach, D+2"
2013-05-23,0,46356583,159556885,113267570,103523746,108455556,68742579,0,0,65533592,76167535,0,0,15009000,0,11726940,165723328,7341474,24963889,0,29560310,444686110,195291944,195714253,237224722,78664000,87235556,100597222,0
2013-05-24,3182260,49830583,114225167,180250636,0,79608333,48524305,0,0,255536682,104240451,0,0,14121472,0,10561107,159189360,7359523,0,0,24168385,500491672,203676500,196120000,232076684,79693580,97137778,111775000,0
2013-05-25,0,51013611,156045354,260368915,43270600,105975000,61430970,0,0,186598330,101341146,704500,0,0,0,0,0,6135692,0,0,55030722,418430549,200471722,194350000,228515226,77260250,102915556,110947222,0
2013-05-26,6787779,51983361,154046667,252261060,36611320,108261111,66016554,0,12007868,240275230,94379340,0,0,0,0,0,0,6265398,0,0,0,399316678,193010111,216153328,222492222,72462860,82577778,112597222,0
2013-05-27,0,61337056,148589651,243899400,38612448,106075000,67240052,0,36144241,157402978,98663194,0,0,0,0,0,0,3677108,0,0,0,439641656,171976389,210524217,224993889,84718890,83502222,119522222,0
2013-05-28,54086571,66704944,157959389,207501641,75016033,104533333,48359055,13688889,0,222436594,102178819,0,0,3335056,0,54969979,29303470,3665258,0,0,0,459577772,177145111,156265714,222485833,97371780,79662222,113813889,0
2013-05-29,162096419,68571972,160793851,270078100,12781952,107344444,68191906,6222222,0,117306290,102035590,0,0,4053250,0,54937757,148733456,4150482,15004444,0,0,445072225,188871583,134133150,219455556,77235250,80782222,115069444,0
2013-05-30,71380582,67483667,139627259,240827014,11443573,107736111,69846762,0,0,140533849,107469618,376800,0,0,0,58623311,93809784,3697550,0,0,0,464622476,190101111,141890425,221401389,62484440,41422222,118300000,0
2013-05-31,51098,68933778,139397308,181902614,12824127,114422222,70101916,0,0,126212803,103771701,0,0,0,0,26461657,35188056,3693213,0,0,0,417811110,193233333,150650000,221389073,56862310,43111111,116822222,0
2013-06-01,11088,0,159833442,181902614,1840436,107847222,82302789,0,0,463677300,102928891,0,0,0,0,0,0,0,0,0,0,501133355,193233333,150650000,221389073,444333225,42922092,113336046,0
2013-06-02,0,71031167,160696233,161267361,1890399,107669444,71777778,11253333,0,401447466,105143229,0,0,0,0,0,0,1221170,0,0,0,566647237,192665000,118753075,224439167,58360330,45280000,104611111,0
2013-06-03,0,68461139,157358590,188948275,9913336,102416667,67053657,3395556,0,269263656,104583333,0,0,0,0,22755269,0,1486855,0,0,0,477369453,144731806,241911269,218334722,0,108835556,105033333,0
2013-06-04,0,71944778,146286494,188925115,9480648,103447222,70034646,18151111,28016537,305432962,91508413,974800,0,0,0,17309160,133679800,4414158,4785000,0,0,470866665,140737250,243823164,224181389,0,113386667,117358333,0
2013-06-05,0,71937583,156312222,149297982,3009911,107352778,59029803,20800000,21503391,404585639,98003472,0,0,0,0,71105806,44876232,1483386,0,0,0,465533346,153117194,255215075,229460278,0,116835556,112300000,0
2013-06-06,0,67163333,162010278,188928315,1259062,107652778,59151150,38826667,0,457392431,103220486,1507300,0,0,0,7463331,36486260,1481740,0,0,117634144,450352783,156309472,261023386,230800859,0,117831111,116022222,0
2013-06-07,12164679,64637972,159163157,188939402,0,102602778,57318890,35367750,0,350074133,99726563,704500,0,0,0,0,0,610565,0,0,174524043,455280558,155414889,299770000,182523958,0,109831111,103880556,0
2013-06-08,11122,0,146555447,188919649,0,96554905,0,15656668,0,344655490,104878896,1458333,0,0,0,0,0,360243,0,0,0,423555773,155414889,299770000,182523958,0,116111111,113305664,0
2013-06-09,80915980,48466139,157242173,188927204,0,96605556,0,8824444,0,345453316,106306424,0,0,0,0,52769147,39578168,2746808,0,0,0,424636095,175713750,309997578,189160278,0,113866667,111091667,0
2013-06-10,135133525,53451194,157802446,192381297,0,93191667,0,12893333,0,446261101,107178819,0,0,0,0,65961086,90071040,2746808,0,0,0,497536113,186851278,286378833,201497222,0,100533333,111063889,0
2013-06-11,152731522,65384417,158080563,269930834,20000,97088889,0,22586667,0,385776188,103732639,0,0,0,0,40724429,56049784,2686484,0,0,0,509924994,196667500,276529456,212062500,0,91217778,115702778,0
2013-06-12,75794108,64659472,149752698,228275468,0,101119444,0,7095556,0,321672492,103350694,204800,0,0,0,11729718,0,1352199,0,0,0,463574999,191058361,282781722,238914167,0,82115556,115350000,0
2013-06-13,8855,60076000,153707335,135498910,0,67877778,0,10808889,0,282748498,96970486,0,0,0,0,0,0,1675753,0,0,0,466780565,189061722,284193925,223890833,0,80977778,110377778,0
2013-06-14,2023,51557389,154619971,31483185,0,103622222,0,32091111,0,254349908,92673611,0,0,0,0,0,0,2517296,0,0,0,435333320,190345139,250320000,229960573,0,82240000,107408333,0
2013-06-15,0,0,131791992,110564116,0,87124566,0,40060001,0,442412318,95621668,0,-455666775,0,0,0,0,0,0,0,0,431366645,190345139,250320000,229960573,0,84655558,114180230,0
2013-06-16,0,53221639,146631762,153958333,0,92236111,0,3102222,0,424958576,101831596,0,0,0,0,0,0,2746808,0,0,0,421980557,194561417,270776617,224723611,0,85884444,108186111,0
2013-06-17,8914156,53762056,150545430,263574081,0,82836111,0,7457778,0,292829370,104570313,0,0,0,0,24327769,0,2747618,0,0,0,473372226,192399472,205636492,219434722,0,85351111,111205556,0
2013-06-18,0,54038389,147780011,107518516,0,69908333,0,6124444,0,491081012,104270833,0,0,0,0,0,10813,2517296,0,0,0,442016669,198503972,155378958,217235000,0,74826667,111836111,0
